EyeTotalDuration_TOR_FrontOnly,EyeCount_TOR_FrontOnly,EyeTotalDuration_TOR,EyeCount_TOR,class_tf,fileIDs
66,2,70,4,1,S35_01_conversation_CANData
116,8,131,11,2,S35_01_drink_CANData
92,6,128,18,2,S35_01_texting_CANData
84,4,177,9,2,S35_02_Movie_CANData
2,2,2,2,1,S35_02_NoNDRT_CANData
36,6,132,32,1,S35_02_conversation_CANData
57,7,111,16,1,S35_02_drink_CANData
116,8,144,12,2,S35_02_texting_CANData
50,2,57,5,1,S35_03_Movie_CANData
2,2,22,10,1,S35_03_NoNDRT_CANData
2,2,4,4,0,S35_03_conversation_CANData
15,4,26,9,1,S35_03_drink_CANData
2,2,2,2,1,S35_03_texting_CANData
22,4,30,6,2,S36_01_Movie_CANData
126,10,154,16,0,S36_01_NoNDRT_CANData
74,11,130,19,2,S36_01_conversation_CANData
134,11,152,13,1,S36_01_drink_CANData
50,8,118,22,2,S36_01_texting_CANData
20,4,32,8,2,S36_02_Movie_CANData
168,11,168,11,1,S36_02_NoNDRT_CANData
44,8,100,20,1,S36_02_conversation_CANData
119,9,152,15,0,S36_02_drink_CANData
6,6,8,8,1,S36_02_texting_CANData
16,2,16,2,2,S36_03_Movie_CANData
100,7,134,11,0,S36_03_NoNDRT_CANData
3,1,16,4,1,S36_03_conversation_CANData
92,9,152,17,1,S36_03_drink_CANData
26,6,36,10,1,S36_03_texting_CANData
